Published,NID,Name,Appointment,SAD,"Fellow, Scholar, & Joint Appointments",Other Titles,Faculty Director Positions
Yes,306496,Keith Hennessey,Lecturer in Economics,No,,,
Yes,302326,Keith Krehbiel,Edward B. Rust Professor of Political Science,No,,,
Yes,405241,Kelly M. McGonigal,Lecturer in Management,No,,,
Yes,302596,Ken Shotts,The David S. and Ann M. Barlow Professor of Political Economy,No,,"Professor of Political Science (by courtesy), School of Humanities and Sciences",
Yes,302606,Kenneth J. Singleton,Adams Distinguished Professor in Management,No,,Coulter Family Faculty Scholar for 2015-16,
Yes,309671,Kevin M. Taweel,Lecturer in Management,No,,,
Yes,307851,Kevin Mak,Lecturer in Management,No,,,Director of the Real-Time Analysis and Investment Lab (RAIL)
Yes,306316,Kirk Bowman,Lecturer in Management,No,,,
Yes,302736,Kostas Bimpikis,"Associate Professor of Operations, Information & Technology",No,Fletcher Jones Faculty Scholar for 2015-16,"Associate Professor of Operations, Information, and Technology",
Yes,302796,Kristin Laurin,Assistant Professor of Organizational Behavior,No,,,
Yes,391346,Kuang Xu,"Assistant Professor of Operations, Information & Technology",No,,,
Yes,302071,Lanier Benkard,Gregor G. Peterson Professor of Economics,No,,,
Yes,302646,Larissa Tiedens,Jonathan B. Lovelace Professor of Organizational Behavior,Yes,,,Director of the Executive Program in Leadership: The Effective Use of Power
Yes,306291,Laura Arrillaga-Andreessen,Lecturer in Business Strategy,No,,,
Yes,311746,Laura Hattendorf,Lecturer in Management,No,,,
Yes,404991,Laurence C. Baker,"Professor, Health Research and Policy, Stanford University",No,"Fellow, Stanford Center for Health Policy","Director of the Scholarly Concentration Program, Stanford University|Chief of Health Services research, Department of Health Research and Policy",
Yes,302676,Lawrence M. Wein,Jeffrey S. Skoll Professor of Management Science,No,,"Lacob Family Faculty Fellow for 2014-15|Senior Fellow (by courtesy), Freeman Spogli Institute for International Studies at Stanford",
Yes,337641,Leah Weiss,Lecturer in Management,No,,,
Yes,309646,Leo Edward Linbeck,Lecturer in Management,No,,,
Yes,403771,Leslie Simone,Lecturer in Organizational Behavior,No,,,
Yes,306406,Lindred Leura Greer,Assistant Professor of Organizational Behavior,No,Younger Family Faculty Scholar for 2015-16,,
Yes,306391,Lisa De Simone,Assistant Professor of Accounting,No,,,
Yes,302531,Madhav V. Rajan,The Robert K. Jaedicke Professor of Accounting,Yes,,"Professor of Law (by courtesy), Stanford Law School",Co-Director of Finance and Accounting for the Nonfinancial Executive Program
Yes,302461,Margaret Ann Neale,Adams Distinguished Professor of Management,No,,,Director of the Managing Teams for Innovation and Success Executive Program|Director of the Influence and Negotiation Strategies Executive Program|Co-Director of the Executive Program for Women Leaders
Yes,403131,Marissa Duswalt,Lecturer in Management,No,,,
Yes,309666,Mark A. Stevens,Lecturer in Management,No,,,
Yes,302691,Mark A. Wolfson,Consulting Professor in Accounting and Finance,No,,,
Yes,309776,Mark Leslie,Lecturer in Management,No,,,
Yes,383681,Mark Pincus,Lecturer in Management,No,,,
Yes,302061,Mary E. Barth,Joan E. Horngren Professor of Accounting,No,,,
Yes,381081,Mary K. Bundorf,Associate Professor of Political Economy (by courtesy),No,,"Associate Professor, Department of Health Research and Policy, School of Medicine",
Yes,302721,Matt Forrest Abrahams,Lecturer in Organizational Behavior,No,,,
Yes,306301,Matthew Bannick,Lecturer in Management,No,,,
Yes,369046,Matthew Glickman,Lecturer in Management,No,,,
Yes,302411,Maureen McNichols,Marriner S. Eccles Professor of Public and Private Management,No,,"Professor of Law (by courtesy), School of Law|Susan Ford Dorsey Faculty Fellow for 2015-16",
Yes,369021,Melissa Jones Briggs,Lecturer in Organizational Behavior,No,,,
Yes,309061,Michael Child,Lecturer in Management,No,,,
Yes,302541,Michael L. Ray,"John G. McCoy–Banc One Corporation Professor of Creativity and Innovation and of Marketing, Emeritus",No,,,
Yes,302471,Michael Ostrovsky,Professor of Economics,No,Graduate School of Business Trust Faculty Fellow for 2015-16,,
Yes,302226,Michael T. Hannan,Adams Distinguished Professor of Management,No,,"Professor of Sociology, Emeritus",
Yes,391286,Michal Kosinski,Assistant Professor of Organizational Behavior,No,,,
Yes,302731,Mohsen Bayati,"Assistant Professor of Operations, Information & Technology",No,Spence Faculty Scholar for 2015-16,"Assistant Professor of Electrical Engineering (by courtesy), School of Engineering",
Yes,405246,Monika Piazzesi,Professor of Finance (by courtesy),No,,"Joan Kenney Professor of Economics, School of Humanities and Sciences",
Yes,302636,Myra H. Strober,"Professor of Education, Emerita, School of Education",No,,,
Yes,302571,Myron S. Scholes,"Frank E. Buck Professor of Finance, Emeritus",No,,,
Yes,302816,Navdeep S. Sahni,Assistant Professor of Marketing,No,,,
Yes,302376,Neil Malhotra,Professor of Political Economy,No,,"Professor of Political Science (by courtesy), School of Humanities and Sciences",Louise & Claude Rosenberg Jr. Co-Director of the Center for Social Innovation
Yes,306311,Nicholas A. Bloom,Professor of Economics (by courtesy),No,"Senior Fellow, Stanford Institute for Economic Policy Research","Professor of Economics, School of Humanities and Sciences",
Yes,376596,Nicholas E. Donatiello,Lecturer in Management,No,,,
Yes,302341,Nicolas S. Lambert,Assistant Professor of Economics,No,MBA Class of 1969 Faculty Scholar for 2015-16,"Assistant Professor of Economics (by courtesy), School of Humanities and Sciences",
Yes,302221,Nir Halevy,Associate Professor of Organizational Behavior,No,,,
Yes,403251,Nitsa Lallas,Lecturer in Management,No,,,
Yes,306491,Nori Gerardo Lietz,Lecturer in Management,No,,,
Yes,362551,"Octavia ""Dana"" Foarta",Assistant Professor of Political Economy,No,John A. Gunn & Cynthia Fry Gunn Faculty Scholar for 2015-16,,
Yes,369056,Paraag V. Marathe,Lecturer of Management,No,,,
Yes,309721,Paul Brest,"Professor of Law, Emeritus, Stanford Law School",No,,,
Yes,302476,Paul Oyer,Fred H. Merrill Professor of Economics,No,,,
Yes,302501,Paul Pfleiderer,C.O.G. Miller Distinguished Professor of Finance,Yes,,"Professor of Law (by courtesy), School of Law",
Yes,302421,Paul R. Milgrom,Professor of Economics (by courtesy),No,"Senior Fellow, Stanford Institute for Economic Policy and Research","Shirley R. and Leonard W. Ely Jr. Professor of Humanities and Sciences, School of Humanities and Sciences",
Yes,391336,Paulo Somaini,Assistant Professor of Economics,No,,,
Yes,302771,Pedro M. Gardete,Assistant Professor of Marketing,No,,,
Yes,302786,Peter A.E. Koudijs,Assistant Professor of Finance,No,,"Assistant Professor of Economics (by courtesy), School of Humanities and Sciences",
Yes,309756,Peter B. Kelly,Lecturer in Management,No,,,
Yes,302551,Peter C. Reiss,MBA Class of 1963 Professor of Economics,No,,"Professor of Economics (by courtesy), School of Humanities and Sciences",
Yes,309701,Peter C. Wendell,MBA Class of 1973 Lecturer for 2014-15,No,,Lecturer in Strategic Management,
Yes,306506,Peter Levine,Lecturer in Marketing,No,,,
Yes,302151,Peter M. DeMarzo,Mizuho Financial Group Professor of Finance,No,,,Director of the Stanford LEAD Certificate: Corporate Innovation
Yes,311741,Peter T. Francis,Lecturer in Management,No,,,
Yes,311751,Peter Ziebelman,Lecturer in Management,No,,,
Yes,309726,R.E. Anne Casscells,Lecturer in Accounting,No,,,
Yes,369066,Raymond Nasr,Lecturer in Management,No,,,
Yes,362531,Rebecca Diamond,Assistant Professor of Economics,No,,,
Yes,391311,Rebecca Lester,Assistant Professor of Accounting,No,,,
Yes,302111,Renee Bowen,Assistant Professor of Economics,No,Arch W. Shaw National Fellow at the Hoover Institution,,
Yes,404956,Richard Henry Abramson,Lecturer in Management,No,,,
Yes,302191,Richard P. Francisco,Lecturer in Organizational Behavior,No,,,
Yes,386241,Ricki Frankel,Instructor,No,,,
Yes,379701,Robb Willer,Associate Professor of Organizational Behavior (by courtesy),No,,"Associate Professor of Sociology, School of Humanities and Sciences",
Yes,302136,Robert A. Burgelman,Edmund W. Littlefield Professor of Management,No,BP Faculty Fellow in Global Management for 2015-16,,
Yes,309766,Robert Chess,Lecturer in Management,No,,,
Yes,306381,Robert Daines,Professor of Finance (by courtesy),No,,"Pritzker Professor of Law and Business, School of Law",
Yes,306521,Robert E. Siegel,Lecturer in Organizational Behavior,No,,,
Yes,306471,Robert I. Sutton,Professor of Organizational Behavior (by courtesy),No,,"Professor of Management Science and Engineering, School of Engineering",Co-Director of the Customer-Focused Innovation Executive Program
Yes,302171,Robert J. Flanagan,"Konosuke Matsushita Professor of International Labor Economics and Policy Analysis, Emeritus",No,,,
Yes,302281,Robert K. Jaedicke,"Philip H. Knight Professor and Dean, Emeritus",No,,,
Yes,302296,Robert L. Joss,"Philip H. Knight Professor and Dean, Emeritus",No,,,
Yes,306516,Robert M. Pearl,Lecturer in Organizational Behavior,No,,,
Yes,370536,Robert Urstein,Lecturer in Management,No,,Managing Director of Global Innovation Programs,
Yes,305926,Robert Wilson,"Adams Distinguished Professor of Management, Emeritus",No,,,
Yes,302321,Roderick M. Kramer,William R. Kimball Professor of Organizational Behavior,No,Shanahan Family Faculty Fellow for 2015-16,,
Yes,302301,Ron Kasznik,Paul L. and Phyllis Wattis Professor of Management,No,Graduate School of Business Trust Faculty Fellow for 2015-16,,Director of the Mergers and Acquisitions Executive Program
Yes,342311,Ronald A. Howard,"Professor of Operations, Information & Technology (by courtesy)",No,,"Professor of Management Science and Engineering, School of Engineering",
Yes,309711,Russell Siegelman,Lecturer in Management,No,,,
Yes,302686,S. Christian Wheeler,StrataCom Professor of Management and Professor of Marketing,No,,,
Yes,377176,Saar Gur,Lecturer in Management,No,,,
Yes,392711,Sadiq Gillani,Lecturer in Management,No,,,
Yes,307846,Safra A. Catz,Lecturer in Accounting,No,,,
Yes,302621,Sarah A. Soule,Morgridge Professor of Organizational Behavior,No,,"Professor of Sociology (by courtesy), School of Humanities and Sciences",Louise & Claude Rosenberg Jr. Co-Director of the Center for Social Innovation|Co-Director of The Innovation Health Care Leader: From Design Thinking to Personal Leadership Executive Program|Co-Director of the LGBT Executive Leadership Program
Yes,302286,Saumitra Jha,Associate Professor of Political Economy,No,,"Associate Professor of Political Science (by courtesy), School of Humanities and Sciences",
Yes,302126,Scott Bristol,Lecturer in Organizational Behavior,No,,,
Yes,306321,Scott J. Brady,Lecturer in Management,No,,,
Yes,306511,Scotty McLennan,Lecturer in Political Economy,No,,,
Yes,306396,Sebastian Di Tella,Assistant Professor of Economics,No,Graduate School of Business Trust Faculty Fellow for 2015-16,,
Yes,302681,Seungjin Whang,"Jagdeep and Roshni Singh Professor of Operations, Information, and Technology",No,,,Co-Director of the Stanford-National University of Singapore Executive Program in International Management|Director of the Advanced Leadership Program for Asian-American Executives
Yes,302081,Shai Bernstein,Assistant Professor of Finance,No,Dhirubhai Ambani Faculty Scholar in Entrepreneurship for 2015-16|NBER Faculty Research Fellow,,
Yes,369061,Shantanu Narayen,Lecturer in Management,No,,,
Yes,302241,Sharique Hasan,Associate Professor of Organizational Behavior,No,Louise & Claude N. Rosenberg Jr. Faculty Scholar for 2015-16,,
Yes,404981,Shelley Correll,Professor of Organizational Behavior (by courtesy),No,,"Professor of Sociology, School of Humanities and Sciences","Barbara D. Finberg Director, Clayman Institute for Gender Research"
Yes,302456,Sridhar Narayanan,Associate Professor of Marketing,No,,,
Yes,302546,Stefan J. Reichelstein,William R. Timken Professor of Accounting,No,"Senior Fellow, Woods Institute for the Environment",,Faculty Research Director for the Steyer-Taylor Center for Energy Policy and Finance|Director of the Sustainable Energy Initiative
Yes,302696,Stefanos Zenios,Investment Group of Santa Barbara Professor of Entrepreneurship,No,,,Director of the Center for Entrepreneurial Studies
Yes,302576,Stephan Seiler,Associate Professor of Marketing,No,,,
Yes,369036,Stephen Davis,Lecturer in Management,No,,,
Yes,391281,Stephen J. Anderson-Macdonald,Assistant Professor of Marketing,No,,,
Yes,309761,Steve Ciesinski,Lecturer in Management,No,,,
Yes,302141,Steven Callander,Professor of Political Economy,No,,,Co-Director of the Strategy Beyond Markets: Building Competitive Advantage through Government Relations and Public Affairs Executive Program
Yes,302196,Steven Grenadier,William F. Sharpe Professor of Financial Economics,No,R. Michael Shanahan Faculty Fellow for 2015-16,,
Yes,306501,Stuart L. Klein,Lecturer in Finance,No,,,
Yes,383556,Sujay Jaswa,Lecturer in Management,No,,,
Yes,302051,Susan Athey,The Economics of Technology Professor,No,"Senior Fellow, Stanford Institute for Economics Policy Research","Professor of Economics (by courtesy), School of Humanities and Sciences",
Yes,403126,Susan Colby,Lecturer in Management,No,,,
Yes,306306,Sven A. Beiker,Lecturer in Management,No,,,"Executive Director, Center for Automotive Research at Stanford"
Yes,391301,Svetlana Bryzgalova,Assistant Professor of Finance,No,,,
Yes,306426,Szu-chi Huang,Assistant Professor of Marketing,No,,,
Yes,306416,Takeo Hoshi,Professor of Finance (by courtesy),No,"Henri H. and Tomoye Takahashi Senior Fellow in Japanese Studies, Freeman Spogli Institute for International Studies","Director, Japan Studies Program, Shorenstein Asia-Pacific Research Center",
Yes,302826,Takuo Sugaya,Assistant Professor of Economics,No,,,
Yes,405341,Thomas Layton,Lecturer in Management,No,,,
Yes,307856,Thomas Stephen Wurster,Lecturer in Management,No,,,Co-Director of the LGBT Executive Leadership Program
Yes,306326,Timothy Bresnahan,Professor of Economics (by courtesy),No,"Senior Fellow, Stanford Institute for Economic Policy Research",,"Landau Professor in Technology and the Economy, School of Humanities and Sciences"
Yes,306446,Timothy James McQuade,Assistant Professor of Finance,No,Philip F. Maritz Faculty Scholar for 2015-16,,
Yes,302311,Uzma Khan,Associate Professor of Marketing,No,,,
Yes,302631,V. “Seenu” Srinivasan,"Adams Distinguished Professor of Management, Emeritus",No,,,
Yes,362546,Victoria Vanasco,Assistant Professor of Finance,No,Michelle R. Clayman Faculty Scholar for 2015-16,,
Yes,405301,Vladimir A. Asriyan,Visiting Assistant Professor of Finance,No,,,
Yes,306461,Walter W. Powell,Professor of Organizational Behavior (by courtesy),No,,"Professor of Education, School of Education|Professor of Communication (by courtesy), School of Humanities and Sciences|Professor of Management Science and Engineering (by courtesy), School of Engineering",
Yes,302246,Warren H. Hausman,Professor of Operations Management (by courtesy),No,,"Professor of Management Science and Engineering, School of Engineering",
Yes,302231,Wesley R Hartmann,Professor of Marketing,No,,,
Yes,302426,William F. Miller,"Herbert Hoover Professor of Public and Private Management, Emeritus",No,"Senior Fellow Emeritus, Freeman Spogli Institute for International Studies","Professor of Computer Science, Emeritus, School of Engineering",
Yes,302581,William F. Sharpe,"The STANCO 25 Professor of Finance, Emeritus",No,,,
Yes,305921,William H. Beaver,"Joan E. Horngren Professor of Accounting, Emeritus",No,,,
Yes,302726,William P. Barnett,"Thomas M. Siebel Professor of Business Leadership, Strategy, and Organizations",No,"Affiliated Faculty, Woods Institute for the Environment at Stanford",,Faculty Director of the Stanford Executive Program: Be a Leader Who Matters
Yes,386256,Yifat Sharabi Levine,Instructor,No,,,
Yes,362536,Yonatan Gur,"Assistant Professor of Operations, Information & Technology",No,,,
Yes,302166,Yossi Feinberg,John G. McCoy–Banc One Corporation Professor of Economics,No,,,"Faculty Director, Stanford Ignite|Director of the Corporate Entrepreneur: Driving Innovation and New Ventures Executive Program"
Yes,302651,Zakary Tormala,Professor of Marketing,No,,,
